Gene	Safety_Score (0-28)	Safety_Profile_Assessment	Tissue_with_Safety_Concern
ENTPD3	24	good	Bladder:Brain:Pancreas:Salivary_Gland
CTNNB1	0	not good	many tissues
FADD	0	not good	many tissues
NAALADL1	5	not good	many tissues
SLC22A11	27	very good	Kidney
SCARA5	9	not good	many tissues
OR1F1	28	very good	many tissues
OR2W6P	28	very good	many tissues
OR2B2	28	very good	many tissues
KCNJ4	26	very good	Brain:Heart
VASN	3	not good	many tissues
OR2C1	28	very good	many tissues
LMBRD1	0	not good	many tissues
PTGDR	28	very good	many tissues
KCNV2	28	very good	many tissues
PXK	0	not good	many tissues
CX3CR1	27	very good	Blood
SCN11A	28	very good	many tissues
MFSD2A	16	not good	many tissues
BDKRB2	17	not good	many tissues
MTNR1A	28	very good	many tissues
KCNG4	28	very good	many tissues
SCNN1B	16	not good	many tissues
SDPR	2	not good	many tissues
HFE2	25	very good	Heart:Liver:Muscle
SERINC2	11	not good	many tissues
CHRM1	26	very good	Brain:Prostate:Salivary_Gland
GFRA2	26	very good	Spleen:Thyroid
SLC20A2	1	not good	many tissues
ADAM29	28	very good	many tissues
ADAM9	0	not good	many tissues
DPCR1	27	very good	Stomach
SLC16A4	22	good	Blood_Vessel:Kidney:Lung:Nerve:Ovary:Thyroid
IL7R	18	not good	many tissues
LRP1B	27	very good	Brain
SEMA4C	0	not good	many tissues
CNNM3	0	not good	many tissues
TCTN2	6	not good	many tissues
TSPAN5	10	not good	many tissues
OR13J1	28	very good	many tissues
HTR1E	28	very good	many tissues
TMEM150A	0	not good	many tissues
VAMP5	0	not good	many tissues
BTNL3	27	very good	Small_Intestine
SLC35G2	14	not good	many tissues
TM4SF20	27	very good	Small_Intestine
GRM5	28	very good	many tissues
SIGLEC7	26	very good	Blood:Spleen
NTSR2	27	very good	Brain
MFSD7	4	not good	many tissues
IRS1	10	not good	many tissues
ROR2	15	not good	many tissues
PARM1	2	not good	many tissues
GSG1L	27	very good	Brain
OR10G3	28	very good	many tissues
RAB3B	27	very good	Pituitary
OR6F1	28	very good	many tissues
LMAN2	0	not good	many tissues
EFNA1	1	not good	many tissues
ADRB2	23	good	Adipose_Tissue:Breast:Lung:Skin:Vagina
GPRIN1	26	very good	Brain:Pituitary
IL1RAPL1	28	very good	many tissues
P2RY12	28	very good	many tissues
OR5AU1	28	very good	many tissues
UMOD	27	very good	Kidney
GP2	24	good	Kidney:Pancreas:Prostate:Small_Intestine:Stomach
PTK2	1	not good	many tissues
PTAFR	25	very good	Blood:Lung:Spleen
NPR1	7	not good	many tissues
KCNK9	28	very good	many tissues
SCN9A	28	very good	many tissues
SDC2	1	not good	many tissues
CD52	5	not good	many tissues
MMGT1	1	not good	many tissues
OR4K14	28	very good	many tissues
OR4K15	28	very good	many tissues
CLIC4	0	not good	many tissues
SLC38A11	25	very good	Kidney:Prostate:Spleen:Stomach
GPR183	16	not good	many tissues
MUC15	24	good	Salivary_Gland:Skin:Thyroid:Vagina
GJB1	20	not good	many tissues
VPREB1	28	very good	many tissues
ANTXR1	3	not good	many tissues
PROKR1	28	very good	many tissues
DRD5	28	very good	many tissues
CHRNA5	28	very good	many tissues
GP9	26	very good	Blood:Spleen
RAC3	15	not good	many tissues
NRG4	25	very good	Muscle:Pancreas:Stomach
C15orf27	25	very good	Muscle:Pancreas:Pituitary
NLGN1	28	very good	many tissues
TAS2R1	28	very good	many tissues
LINGO1	27	very good	Brain
TACR3	28	very good	many tissues
PCDH7	17	not good	many tissues
ROBO1	6	not good	many tissues
P2RY1	24	good	Colon:Lung:Skin:Vagina
MUC17	27	very good	Small_Intestine
MUC3A	26	very good	Liver:Prostate:Small_Intestine
ITGAM	21	good	Adipose_Tissue:Adrenal_Gland:Blood:Lung:Nerve:Small_Intestine:Spleen
TM4SF4	25	very good	Liver:Pancreas:Small_Intestine
TM4SF1	1	not good	many tissues
TAS1R3	28	very good	many tissues
NLGN2	1	not good	many tissues
TMEM154	24	good	Bladder:Blood:Skin:Vagina
ALCAM	3	not good	many tissues
GPR37L1	26	very good	Brain:Nerve
GPR25	28	very good	many tissues
RNF150	17	not good	many tissues
CHRNB1	0	not good	many tissues
GYPA	28	very good	many tissues
SLC16A5	6	not good	many tissues
ADRA1B	25	very good	Blood_Vessel:Liver:Spleen
MRGPRX1	28	very good	many tissues
TMED10	0	not good	many tissues
TCAF2	26	very good	Blood:Vagina
LRRN2	22	good	Brain:Colon:Fallopian_Tube:Kidney:Pituitary:Spleen
SLC30A1	5	not good	many tissues
GPRC5C	1	not good	many tissues
TMEM182	26	very good	Heart:Muscle
ADORA2B	26	very good	Skin:Vagina
CD14	0	not good	many tissues
SLC23A1	25	very good	Kidney:Liver:Small_Intestine
TMC7	27	very good	Bladder
SMAGP	3	not good	many tissues
CDH2	21	good	Adrenal_Gland:Blood_Vessel:Brain:Heart:Liver:Pituitary:Stomach
EMB	18	not good	many tissues
OR9K2	28	very good	many tissues
SLC26A5	28	very good	many tissues
SGCD	22	good	Blood_Vessel:Esophagus:Heart:Muscle:Nerve:Ovary
RASA4B	1	not good	many tissues
MURC	26	very good	Heart:Muscle
OR10A3	28	very good	many tissues
KCNS3	16	not good	many tissues
GPR37	26	very good	Brain:Liver
OR10A4	28	very good	many tissues
OR10A2	28	very good	many tissues
BFSP2	28	very good	many tissues
FSHR	28	very good	many tissues
GPR27	25	very good	Blood:Brain:Pituitary
OSCAR	25	very good	Blood:Lung:Spleen
PAQR8	19	not good	many tissues
OR7G3	28	very good	many tissues
OR7G2	28	very good	many tissues
PKHD1	26	very good	Kidney:Pancreas
OR1M1	28	very good	many tissues
OR8B12	28	very good	many tissues
PRKCDBP	1	not good	many tissues
CEACAM3	26	very good	Blood:Spleen
HAS2	28	very good	many tissues
S1PR1	0	not good	many tissues
OR4D5	28	very good	many tissues
LRRC8E	25	very good	Adrenal_Gland:Salivary_Gland:Skin
FPR2	25	very good	Blood:Lung:Spleen
FPR1	22	good	Adipose_Tissue:Adrenal_Gland:Blood:Blood_Vessel:Lung:Spleen
OR13H1	28	very good	many tissues
C11orf24	0	not good	many tissues
ALK	28	very good	many tissues
MTM1	2	not good	many tissues
INSR	1	not good	many tissues
KCNMB3	27	very good	Spleen
FUT3	24	good	Pancreas:Salivary_Gland:Small_Intestine:Vagina
KCNG3	28	very good	many tissues
OR2K2	28	very good	many tissues
OR2M4	28	very good	many tissues
GRIK1	28	very good	many tissues
NETO2	24	good	Adrenal_Gland:Brain:Lung:Spleen
CLDN20	28	very good	many tissues
TMEM37	13	not good	many tissues
CANT1	0	not good	many tissues
KCNK3	23	good	Adrenal_Gland:Blood_Vessel:Lung:Pancreas:Pituitary
CLCN5	25	very good	Kidney:Liver:Ovary
KCND3	24	good	Bladder:Brain:Heart:Liver:Prostate
OR1L6	28	very good	many tissues
DLK2	24	good	Brain:Prostate:Salivary_Gland:Skin:Vagina
OR1L3	28	very good	many tissues
LRRC8C	22	good	Adipose_Tissue:Adrenal_Gland:Breast:Nerve:Spleen:Uterus
LRRC8D	10	not good	many tissues
OR1L8	28	very good	many tissues
OR1N2	28	very good	many tissues
OR1N1	28	very good	many tissues
RXFP1	28	very good	many tissues
LPAR3	26	very good	Heart:Pancreas:Prostate
PTGER4	16	not good	many tissues
ECEL1	25	very good	Adrenal_Gland:Ovary:Pituitary
OR2AT4	28	very good	many tissues
DSCAM	28	very good	many tissues
NMUR1	28	very good	many tissues
CLSTN1	0	not good	many tissues
P2RY6	26	very good	Kidney:Spleen
GPR82	28	very good	many tissues
GPR34	23	good	Adipose_Tissue:Adrenal_Gland:Breast:Small_Intestine:Spleen
ANO5	26	very good	Heart:Muscle
PCDHB1	28	very good	many tissues
C3AR1	19	not good	many tissues
PRND	28	very good	many tissues
PRNP	0	not good	many tissues
ADRA1D	27	very good	Cervix_Uteri
AQP4	25	very good	Brain:Lung:Muscle
OR10H3	28	very good	many tissues
OR10H2	28	very good	many tissues
OR52A5	28	very good	many tissues
GAP43	25	very good	Brain:Colon:Nerve
LRRC15	28	very good	many tissues
CD8B	24	good	Blood:Pituitary:Small_Intestine:Spleen
OR1A1	28	very good	many tissues
AC005255.6	28	very good	many tissues
OR1A2	28	very good	many tissues
OR8I2	28	very good	many tissues
OR4C11	28	very good	many tissues
OR8U1	28	very good	many tissues
OR4X2	28	very good	many tissues
GPR22	27	very good	Heart
CXCR6	26	very good	Small_Intestine:Spleen
CLEC7A	15	not good	many tissues
NEGR1	15	not good	many tissues
BSG	0	not good	many tissues
OR10V1	28	very good	many tissues
OR5A1	28	very good	many tissues
CLEC12A	25	very good	Blood:Lung:Spleen
OR5A2	28	very good	many tissues
ABCG4	27	very good	Brain
OR5B12	28	very good	many tissues
OR5B2	28	very good	many tissues
OR9I1	28	very good	many tissues
OR9G4	28	very good	many tissues
OR5AR1	28	very good	many tissues
OR5AP2	28	very good	many tissues
OR8J1	28	very good	many tissues
OR5T3	28	very good	many tissues
OR10H5	28	very good	many tissues
NIPAL4	25	very good	Bladder:Skin:Vagina
SNTG2	27	very good	Spleen
FNDC9	26	very good	Brain:Pituitary
RASGRP1	26	very good	Brain:Skin
RND1	22	good	Brain:Liver:Lung:Pituitary:Stomach:Thyroid
OR10AD1	28	very good	many tissues
OR4D9	28	very good	many tissues
OR5B3	28	very good	many tissues
OR10W1	28	very good	many tissues
OR1S1	28	very good	many tissues
LVRN	26	very good	Adipose_Tissue:Breast
MRGPRF	7	not good	many tissues
MRGPRD	28	very good	many tissues
SLC22A13	28	very good	many tissues
XKR3	28	very good	many tissues
EVC2	24	good	Blood_Vessel:Cervix_Uteri:Ovary:Uterus
RXFP4	28	very good	many tissues
LRRN3	26	very good	Adrenal_Gland:Brain
RAPH1	14	not good	many tissues
ADCY5	8	not good	many tissues
CYSLTR1	26	very good	Esophagus:Spleen
KIAA1919	28	very good	many tissues
GPR151	28	very good	many tissues
SLC2A14	27	very good	Pancreas
OR10K1	28	very good	many tissues
GPR148	28	very good	many tissues
KCNK7	25	very good	Blood:Skin:Vagina
OLR1	27	very good	Lung
DAG1	1	not good	many tissues
PTPRM	1	not good	many tissues
TNFRSF10D	20	not good	many tissues
TNFRSF10C	25	very good	Blood:Lung:Spleen
CSPG4	8	not good	many tissues
ADGRF3	28	very good	many tissues
XCR1	28	very good	many tissues
CCR9	28	very good	many tissues
GPRC6A	28	very good	many tissues
LRFN4	3	not good	many tissues
SLC19A1	6	not good	many tissues
TAS1R1	28	very good	many tissues
OR1L1	28	very good	many tissues
ADGRG2	28	very good	many tissues
MUC13	27	very good	Small_Intestine
HEG1	3	not good	many tissues
CD7	21	good	Blood:Fallopian_Tube:Liver:Lung:Small_Intestine:Spleen:Stomach
JUP	1	not good	many tissues
KCNH6	28	very good	many tissues
GPR160	17	not good	many tissues
C1QTNF1	1	not good	many tissues
SLCO4C1	27	very good	Kidney
NRROS	24	good	Adipose_Tissue:Blood:Lung:Spleen
CD34	2	not good	many tissues
TLR10	26	very good	Blood:Spleen
TLR1	25	very good	Blood:Lung:Spleen
TLR6	26	very good	Blood:Spleen
FAM174A	0	not good	many tissues
RGMB	5	not good	many tissues
SELP	11	not good	many tissues
ADCY6	1	not good	many tissues
SLC16A11	23	good	Fallopian_Tube:Pituitary:Salivary_Gland:Skin:Thyroid
OR2Y1	28	very good	many tissues
CHRNA9	28	very good	many tissues
SLC6A19	26	very good	Kidney:Small_Intestine
TRHR	28	very good	many tissues
CNTNAP2	27	very good	Brain
LINGO2	27	very good	Uterus
BBS1	0	not good	many tissues
IGDCC3	28	very good	many tissues
SLC26A9	25	very good	Heart:Lung:Stomach
MFSD4	21	good	Brain:Kidney:Lung:Pituitary:Salivary_Gland:Skin:Stomach
IL20RB	25	very good	Nerve:Skin:Vagina
CMKLR1	20	not good	many tissues
UGT8	23	good	Brain:Kidney:Nerve:Small_Intestine:Stomach
SLCO2A1	5	not good	many tissues
OR7D4	28	very good	many tissues
SLC29A2	14	not good	many tissues
FZD4	3	not good	many tissues
CD248	3	not good	many tissues
BTC	23	good	Blood_Vessel:Colon:Esophagus:Fallopian_Tube:Skin
ADGRE1	26	very good	Blood:Spleen
CATSPERD	28	very good	many tissues
OR9G1	28	very good	many tissues
OR5M3	28	very good	many tissues
SEZ6L2	22	good	Adrenal_Gland:Brain:Pancreas:Pituitary:Prostate:Salivary_Gland:Stomach
P2RY14	24	good	Bladder:Colon:Small_Intestine:Stomach
GPR171	25	very good	Blood:Small_Intestine:Spleen
GPR149	28	very good	many tissues
CD164L2	25	very good	Salivary_Gland:Skin:Vagina
OR5J2	28	very good	many tissues
OR10AG1	28	very good	many tissues
OR4S2	28	very good	many tissues
SLC22A1	26	very good	Blood:Liver
DSG4	28	very good	many tissues
OR2T1	28	very good	many tissues
CADM2	26	very good	Brain:Nerve
CHRNA7	28	very good	many tissues
OR10A6	28	very good	many tissues
OR10P1	28	very good	many tissues
LPL	14	not good	many tissues
OR52W1	28	very good	many tissues
LRRC25	23	good	Adipose_Tissue:Adrenal_Gland:Blood:Lung:Spleen
DPP10	25	very good	Adrenal_Gland:Brain:Pancreas
GPR152	28	very good	many tissues
KCNE3	16	not good	many tissues
ALG10B	28	very good	many tissues
P2RY2	23	good	Blood:Heart:Muscle:Thyroid:Vagina
OR4B1	28	very good	many tissues
GPR156	28	very good	many tissues
PRIMA1	15	not good	many tissues
TSPEAR	28	very good	many tissues
ARL4D	6	not good	many tissues
LRRN1	27	very good	Brain
ORAI3	0	not good	many tissues
LYSMD3	4	not good	many tissues
TMPRSS7	28	very good	many tissues
KCNE5	28	very good	many tissues
YES1	1	not good	many tissues
MC5R	28	very good	many tissues
SPHK1	7	not good	many tissues
OR11H4	28	very good	many tissues
OR4D11	28	very good	many tissues
LRRTM4	28	very good	many tissues
OR11H6	28	very good	many tissues
OR4K17	28	very good	many tissues
OR10H4	28	very good	many tissues
OR51B6	28	very good	many tissues
OR4L1	28	very good	many tissues
OR4K13	28	very good	many tissues
OR4F21	28	very good	many tissues
OR4K5	28	very good	many tissues
OR4K3	28	very good	many tissues
OR4N2	28	very good	many tissues
OR4M1	28	very good	many tissues
GJC3	24	good	Breast:Nerve:Pancreas:Salivary_Gland
RIMS2	25	very good	Adrenal_Gland:Brain:Pituitary
CLEC14A	3	not good	many tissues
SLCO3A1	2	not good	many tissues
OR5AN1	28	very good	many tissues
OR10AC1	28	very good	many tissues
OR4C5	28	very good	many tissues
OR4C3	28	very good	many tissues
OR4S1	28	very good	many tissues
OR4X1	28	very good	many tissues
LRRC37A	28	very good	many tissues
OR4F17	28	very good	many tissues
OR51V1	28	very good	many tissues
OR52Z1	28	very good	many tissues
OR52E2	28	very good	many tissues
BASP1	3	not good	many tissues
OR51L1	28	very good	many tissues
LRRC37A3	16	not good	many tissues
VSIG10	1	not good	many tissues
OR51G1	28	very good	many tissues
GRIN1	26	very good	Brain:Salivary_Gland
OR51G2	28	very good	many tissues
OR51A7	28	very good	many tissues
OR51T1	28	very good	many tissues
OR51H1	28	very good	many tissues
OR51S1	28	very good	many tissues
OR51F2	28	very good	many tissues
OR52R1	28	very good	many tissues
MUC20	2	not good	many tissues
LY6H	24	good	Brain:Colon:Pituitary:Stomach
C19orf18	28	very good	many tissues
SCN4B	21	good	Adipose_Tissue:Brain:Breast:Heart:Lung:Muscle:Thyroid
DSCAML1	28	very good	many tissues
EPS8L2	2	not good	many tissues
ZDHHC22	27	very good	Brain
ANO6	1	not good	many tissues
OR2T35	28	very good	many tissues
OR14C36	28	very good	many tissues
OR2M7	28	very good	many tissues
OR2T12	28	very good	many tissues
OR2T33	28	very good	many tissues
KCNA3	28	very good	many tissues
OR2AJ1	28	very good	many tissues
FZD8	20	not good	many tissues
GJD4	28	very good	many tissues
CLDN22	28	very good	many tissues
KCNA2	26	very good	Brain:Nerve
LRRN4CL	15	not good	many tissues
UMODL1	28	very good	many tissues
CD19	25	very good	Blood:Small_Intestine:Spleen
OR2T8	28	very good	many tissues
GPR4	20	not good	many tissues
PTRF	1	not good	many tissues
OR2G3	28	very good	many tissues
OR2G2	28	very good	many tissues
RPRM	20	not good	many tissues
OR2B11	28	very good	many tissues
FAM187B	28	very good	many tissues
CD163	1	not good	many tissues
IL17RA	9	not good	many tissues
PNPLA2	0	not good	many tissues
CD163L1	26	very good	Small_Intestine:Spleen
OR4F4	28	very good	many tissues
CD151	0	not good	many tissues
PVRL3	21	good	Blood_Vessel:Colon:Liver:Ovary:Small_Intestine:Stomach:Thyroid
SLC35G5	28	very good	many tissues
KIAA0195	0	not good	many tissues
KCNJ10	25	very good	Brain:Kidney:Spleen
PCDHB9	28	very good	many tissues
MAMDC4	5	not good	many tissues
GPR150	27	very good	Pancreas
FAM26E	27	very good	Blood_Vessel
GRAMD1C	17	not good	many tissues
HTR3C	28	very good	many tissues
PARD6G	19	not good	many tissues
VN1R1	28	very good	many tissues
SLITRK1	28	very good	many tissues
TMPRSS9	28	very good	many tissues
KCNG2	28	very good	many tissues
OR2D3	28	very good	many tissues
HTR1A	28	very good	many tissues
CD28	28	very good	many tissues
ERBB4	28	very good	many tissues
OR6B3	28	very good	many tissues
GPR35	21	good	Blood:Colon:Fallopian_Tube:Pituitary:Small_Intestine:Spleen:Stomach
DYNAP	28	very good	many tissues
THBD	3	not good	many tissues
GP5	28	very good	many tissues
CD300LB	27	very good	Blood
TAS1R2	28	very good	many tissues
OR13D1	28	very good	many tissues
TAAR3	28	very good	many tissues
HTR1F	28	very good	many tissues
SIGLECL1	28	very good	many tissues
CALR	0	not good	many tissues
LDLRAD3	17	not good	many tissues
CDH4	27	very good	Brain
HLA-DQB1	0	not good	many tissues
C1orf101	28	very good	many tissues
GPC5	27	very good	Brain
OR13C6P	28	very good	many tissues
OR9A2	28	very good	many tissues
SLC17A8	28	very good	many tissues
SLITRK4	27	very good	Adrenal_Gland
HTR1D	28	very good	many tissues
GCC1	9	not good	many tissues
ALOX15B	25	very good	Lung:Prostate:Skin:Vagina
GRM8	28	very good	many tissues
OR2AP1	28	very good	many tissues
OR6C4	28	very good	many tissues
FCER1A	27	very good	Skin
RPRML	27	very good	Brain
OR6C2	28	very good	many tissues
CDH5	1	not good	many tissues
MRGPRX4	28	very good	many tissues
MYADM	0	not good	many tissues
MRGPRX3	28	very good	many tissues
ABCA13	28	very good	many tissues
B3GNT3	24	good	Bladder:Salivary_Gland:Small_Intestine:Stomach
ITLN1	25	very good	Blood_Vessel:Colon:Small_Intestine
NRXN1	26	very good	Brain:Nerve
OR10A7	28	very good	many tissues
GPBAR1	24	good	Adipose_Tissue:Blood:Breast:Spleen
CCR8	28	very good	many tissues
OR1E1	28	very good	many tissues
OR3A4P	28	very good	many tissues
OR3A1	28	very good	many tissues
RRH	28	very good	many tissues
SLC9A4	27	very good	Stomach
ADGRD2	27	very good	Pituitary
GPR139	28	very good	many tissues
FZD2	25	very good	Blood_Vessel:Cervix_Uteri:Nerve
OR6K6	28	very good	many tissues
OR10Q1	28	very good	many tissues
KCNE1	26	very good	Blood:Spleen
SSTR2	27	very good	Spleen
SLC47A2	27	very good	Kidney
PRF1	25	very good	Blood:Lung:Spleen
OR2A4	28	very good	many tissues
VN1R3	28	very good	many tissues
TMEM64	7	not good	many tissues
OR10K2	28	very good	many tissues
CHRM4	27	very good	Spleen
S1PR5	23	good	Blood:Brain:Skin:Spleen:Vagina
GPR157	21	good	Cervix_Uteri:Heart:Lung:Muscle:Salivary_Gland:Skin:Vagina
AGTR2	28	very good	many tissues
SLC36A4	9	not good	many tissues
ZDHHC20	0	not good	many tissues
OR51E1	28	very good	many tissues
CXCR2	25	very good	Blood:Spleen:Vagina
SCRIB	0	not good	many tissues
OXTR	27	very good	Breast
OR56B4	28	very good	many tissues
GPR62	28	very good	many tissues
OR56A1	28	very good	many tissues
OR52E4	28	very good	many tissues
OR52N2	28	very good	many tissues
GPR137C	27	very good	Brain
OR52N1	28	very good	many tissues
OR52N5	28	very good	many tissues
LSMEM1	22	good	Blood:Blood_Vessel:Liver:Muscle:Pancreas:Spleen
OR56B2P	28	very good	many tissues
OR56B1	28	very good	many tissues
FKRP	0	not good	many tissues
FCRL6	26	very good	Blood:Spleen
SLC26A11	0	not good	many tissues
CHRM2	25	very good	Bladder:Colon:Heart
OR52N4	28	very good	many tissues
F2R	12	not good	many tissues
OR52P1P	28	very good	many tissues
MUC16	26	very good	Fallopian_Tube:Salivary_Gland
OR8G2P	28	very good	many tissues
TMEM132C	20	not good	many tissues
OR5AK2	28	very good	many tissues
OR5AK3P	28	very good	many tissues
TMEM132E	28	very good	many tissues
HEPHL1	28	very good	many tissues
OR5M8	28	very good	many tissues
UTS2R	28	very good	many tissues
AATK	16	not good	many tissues
OR6T1	28	very good	many tissues
OR8D4	28	very good	many tissues
OR52D1	28	very good	many tissues
OR52H1	28	very good	many tissues
GPR135	28	very good	many tissues
P2RY13	26	very good	Blood:Spleen
TNFSF15	28	very good	many tissues
GPR88	28	very good	many tissues
OR8K3	28	very good	many tissues
OR8H1	28	very good	many tissues
OR5T1	28	very good	many tissues
OR5T2	28	very good	many tissues
OR2Z1	28	very good	many tissues
OR8K5	28	very good	many tissues
AMIGO1	20	not good	many tissues
OR8H3	28	very good	many tissues
OR8H2	28	very good	many tissues
GPR3	28	very good	many tissues
OR5AS1	28	very good	many tissues
ADGRB1	25	very good	Brain:Pituitary:Spleen
OR6S1	28	very good	many tissues
SLC9A9	11	not good	many tissues
RELL1	18	not good	many tissues
TIGIT	26	very good	Blood:Spleen
SLC2A4	17	not good	many tissues
CLDN7	10	not good	many tissues
OR4C6	28	very good	many tissues
OR4P4	28	very good	many tissues
OR4C16	28	very good	many tissues
OR4C15	28	very good	many tissues
OR4A15	28	very good	many tissues
OR4A16	28	very good	many tissues
OR52K2	28	very good	many tissues
OR52A1	28	very good	many tissues
PTCHD3	28	very good	many tissues
OR6B2	28	very good	many tissues
TMEM259	0	not good	many tissues
TMEM30B	15	not good	many tissues
ENPP7	27	very good	Liver
P2RY8	25	very good	Blood:Spleen:Thyroid
UNC5C	26	very good	Adrenal_Gland:Thyroid
MRGPRG	28	very good	many tissues
RGMA	6	not good	many tissues
BACE2	3	not good	many tissues
KCNA4	28	very good	many tissues
GABRG3	28	very good	many tissues
IZUMO1	28	very good	many tissues
TMIGD1	27	very good	Small_Intestine
KCNJ14	28	very good	many tissues
OR5P3	28	very good	many tissues
KCNK4	27	very good	Brain
EXOC7	0	not good	many tissues
OR2B8P	28	very good	many tissues
LHFPL1	28	very good	many tissues
FES	0	not good	many tissues
CAV3	26	very good	Heart:Muscle
SPNS3	28	very good	many tissues
CLEC4G	27	very good	Liver
CSF1R	3	not good	many tissues
EPHB3	13	not good	many tissues
EPGN	28	very good	many tissues
TSPAN10	28	very good	many tissues
OR2V2	28	very good	many tissues
RXFP3	28	very good	many tissues
OR10G7	28	very good	many tissues
OR4Q3	28	very good	many tissues
NTM	23	good	Brain:Colon:Esophagus:Lung:Nerve
KCNB2	28	very good	many tissues
BRICD5	0	not good	many tissues
GALR2	28	very good	many tissues
GRID1	24	good	Brain:Cervix_Uteri:Fallopian_Tube:Thyroid
HCAR2	20	not good	many tissues
OR2T29	28	very good	many tissues
OR4F15	28	very good	many tissues
LCK	24	good	Blood:Lung:Small_Intestine:Spleen
ADGRG3	23	good	Blood:Lung:Small_Intestine:Spleen:Thyroid
OTOP3	28	very good	many tissues
GJC1	17	not good	many tissues
CADM1	9	not good	many tissues
MCEMP1	25	very good	Blood:Lung:Spleen
SLC8A1	23	good	Bladder:Blood:Colon:Heart:Uterus
OR1G1	28	very good	many tissues
OTOP2	28	very good	many tissues
IGSF5	28	very good	many tissues
CSMD1	28	very good	many tissues
PTGDR2	26	very good	Small_Intestine:Stomach
GPR19	26	very good	Brain:Pituitary
GJD3	28	very good	many tissues
TMEM119	12	not good	many tissues
CALN1	26	very good	Adrenal_Gland:Brain
GABRR3	28	very good	many tissues
OR51B4	28	very good	many tissues
OR52E8	28	very good	many tissues
OR5P2	28	very good	many tissues
CECR6	27	very good	Brain
OR2T34	28	very good	many tissues
OR52L1	28	very good	many tissues
EPHA10	26	very good	Pituitary:Small_Intestine
OR56A4	28	very good	many tissues
LRIT3	28	very good	many tissues
GRIN2A	28	very good	many tissues
GPR132	26	very good	Blood:Spleen
KLRC4	28	very good	many tissues
IZUMO1R	28	very good	many tissues
ZNRF3	23	good	Adrenal_Gland:Blood_Vessel:Brain:Kidney:Ovary
CCR3	27	very good	Blood
GPR1	28	very good	many tissues
MRGPRX2	28	very good	many tissues
OR4N4	28	very good	many tissues
OPCML	27	very good	Brain
NPBWR1	28	very good	many tissues
KREMEN1	3	not good	many tissues
CCR4	28	very good	many tissues
GPR39	28	very good	many tissues
KIRREL	7	not good	many tissues
SCN5A	27	very good	Heart
LRRC55	28	very good	many tissues
KCNH8	27	very good	Pituitary
ST6GALNAC3	23	good	Adipose_Tissue:Blood:Breast:Lung:Thyroid
TMPRSS2	17	not good	many tissues
OR2T10	28	very good	many tissues
ADAP2	20	not good	many tissues
CLDN5	0	not good	many tissues
OR4F6	28	very good	many tissues
CNTN2	26	very good	Brain:Pituitary
OR10J5	28	very good	many tissues
KCNQ3	27	very good	Brain
ADRA2C	18	not good	many tissues
OR1D2	28	very good	many tissues
KCNJ12	27	very good	Muscle
GPR173	21	good	Brain:Cervix_Uteri:Fallopian_Tube:Nerve:Ovary:Pituitary:Uterus
PCDH9	27	very good	Brain
KCNK12	27	very good	Nerve
TM2D3	0	not good	many tissues
TACSTD2	17	not good	many tissues
CLECL1	27	very good	Spleen
PRKD1	12	not good	many tissues
ZDHHC23	20	not good	many tissues
OR51J1	28	very good	many tissues
EFNA5	22	good	Blood_Vessel:Heart:Pituitary:Salivary_Gland:Skin:Vagina
MRGPRE	28	very good	many tissues
PKP3	17	not good	many tissues
CSF1	1	not good	many tissues
OR4N5	28	very good	many tissues
KCND2	27	very good	Brain
LRRC19	26	very good	Kidney:Small_Intestine
CCR10	22	good	Cervix_Uteri:Fallopian_Tube:Nerve:Ovary:Pituitary:Uterus
NCMAP	25	very good	Nerve:Pancreas:Salivary_Gland
OR56A3	28	very good	many tissues
TMEM255B	2	not good	many tissues
SLITRK6	26	very good	Bladder:Salivary_Gland
LPAR5	23	good	Skin:Small_Intestine:Spleen:Stomach:Vagina
AMER1	28	very good	many tissues
CLDN6	28	very good	many tissues
OR51M1	28	very good	many tissues
LRRC26	26	very good	Prostate:Salivary_Gland:Small_Intestine
DRD1	28	very good	many tissues
CLCNKB	25	very good	Kidney:Salivary_Gland:Thyroid
JAG2	4	not good	many tissues
OR6A2	28	very good	many tissues
OR6C70	28	very good	many tissues
CHRM5	28	very good	many tissues
SORCS2	24	good	Brain:Cervix_Uteri:Nerve:Ovary
TMEM106A	25	very good	Blood:Kidney:Spleen
ROBO2	26	very good	Brain:Lung
SEMA4B	0	not good	many tissues
CIB1	0	not good	many tissues
ANKS1B	25	very good	Blood_Vessel:Brain:Pituitary
SLC24A3	11	not good	many tissues
SGCZ	28	very good	many tissues
FLRT2	11	not good	many tissues
ANO9	13	not good	many tissues
NPY2R	28	very good	many tissues
MFSD6L	26	very good	Pancreas:Salivary_Gland
SIGIRR	0	not good	many tissues
IFITM2	0	not good	many tissues
MC2R	27	very good	Adrenal_Gland
GP1BA	28	very good	many tissues
IL3RA	9	not good	many tissues
SCN10A	28	very good	many tissues
ATP6V0A2	3	not good	many tissues
OR2V1	28	very good	many tissues
OR7A17	28	very good	many tissues
IFNLR1	25	very good	Liver:Pituitary:Skin
FAM174B	5	not good	many tissues
TMEM179B	0	not good	many tissues
ROR1	26	very good	Blood_Vessel:Stomach
MUC1	5	not good	many tissues
SV2B	27	very good	Brain
DLK1	24	good	Adrenal_Gland:Ovary:Pancreas:Pituitary
